Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
71;20893;"Transportation Research Part C: Emerging Technologies";journal;"0968090X";"Elsevier Ltd";No;No;2,734;Q1;196;378;1096;22377;11457;1092;9,22;59,20;26,15;0;195;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2025";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
72;21100827946;"npj Quantum Information";journal;"20566387";"Nature Partner Journals";Yes;No;2,730;Q1;82;132;434;7832;3715;432;7,92;59,33;17,14;0;3;United Kingdom;Western Europe;"Nature Partner Journals";"2015-2025";"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)";"Computer Science; Physics and Astronomy"
73;12996;"IEEE Signal Processing Magazine";journal;"10535888";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,685;Q1;219;61;246;1612;2506;207;9,07;26,43;19,57;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2024";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
74;21101111801;"Satellite Navigation";journal;"26629291, 26621363";"Springer International Publishing";Yes;Yes;2,658;Q1;31;31;88;1582;956;88;10,48;51,03;20,93;0;2;China;Asiatic Region;"Springer International Publishing";"2020-2025";"Aerospace Engineering (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
75;21080;"Mechanical Systems and Signal Processing";journal;"08883270, 10961216";"Academic Press";No;No;2,636;Q1;226;815;3187;38994;33004;3174;10,07;47,85;25,25;0;109;United States;Northern America;"Academic Press";"1987-2025";"Aerospace Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mechanical Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
76;16733;"IEEE Transactions on Medical Imaging";journal;"02780062, 1558254X";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,629;Q1;273;439;966;23203;11588;966;11,16;52,85;30,04;0;69;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2025";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)";"Computer Science; Engineering; Health Professions"
77;18378;"IEEE Transactions on Intelligent Transportation Systems";journal;"15580016, 15249050";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,589;Q1;224;1653;3831;85302;46481;3805;11,53;51,60;28,00;0;738;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2025";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
78;4000151805;"Foundations and Trends in Communications and Information Theory";journal;"15672190, 15672328";"Now Publishers Inc";No;No;2,571;Q1;31;4;10;863;64;10;7,88;215,75;20,00;0;0;United States;Northern America;"Now Publishers Inc";"2004-2024";"Applied Mathematics (Q1); Computer Networks and Communications (Q1)";"Computer Science; Mathematics"
79;17362;"IEEE Transactions on Knowledge and Data Engineering";journal;"10414347";"IEEE Computer Society";No;No;2,570;Q1;216;720;1628;43177;18208;1626;11,60;59,97;30,27;0;45;United States;Northern America;"IEEE Computer Society";"1989-2025";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
80;22238;"Operations Research";journal;"0030364X, 15265463";"INFORMS Institute for Operations Research and the Management Sciences";No;No;2,557;Q1;166;153;429;7672;1427;427;3,19;50,14;21,93;4;20;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2025";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
81;21100854831;"IEEE Transactions on Cognitive Communications and Networking";journal;"23327731";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,541;Q1;65;292;366;13109;3679;362;8,59;44,89;27,28;0;44;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)";"Computer Science"
82;27239;"IEEE Network";journal;"08908044, 1558156X";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,516;Q1;160;362;625;4853;5685;594;7,12;13,41;28,33;0;63;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
83;25534;"IEEE Transactions on Image Processing";journal;"10577149";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,502;Q1;346;511;1750;32960;25095;1750;13,32;64,50;28,84;0;11;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-2025";"Computer Graphics and Computer-Aided Design (Q1); Software (Q1)";"Computer Science"
84;21100338350;"IEEE Internet of Things Journal";journal;"23274662";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,483;Q1;208;3532;4971;157415;58046;4946;10,62;44,57;29,00;0;921;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)";"Computer Science; Decision Sciences"
85;21100981101;"Smart Learning Environments";journal;"21967091";"SpringerOpen";Yes;No;2,476;Q1;41;63;136;4146;2297;134;18,53;65,81;40,82;0;30;United Kingdom;Western Europe;"SpringerOpen";"2014-2018, 2020-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
86;17945;"Bioinformatics";journal;"13674811, 13674803";"Oxford University Press";Yes;No;2,451;Q1;486;740;2737;24405;16178;2727;5,56;32,98;31,90;0;129;United Kingdom;Western Europe;"Oxford University Press";"1985-2025";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
87;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";"Elsevier B.V.";No;No;2,412;Q1;246;836;1926;51308;16545;1921;8,14;61,37;18,24;1;77;Netherlands;Western Europe;"Elsevier B.V.";"1972-2025";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Physics and Astronomy"
88;17956;"Briefings in Bioinformatics";journal;"14774054, 14675463";"Oxford University Press";Yes;No;2,390;Q1;159;736;2087;39568;17776;2077;7,97;53,76;37,25;1;219;United Kingdom;Western Europe;"Oxford University Press";"2000-2025";"Information Systems (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
89;27843;"Annual Reviews in Control";journal;"13675788";"Elsevier Ltd";No;No;2,386;Q1;111;40;173;4631;2070;163;11,58;115,78;20,63;0;6;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2025";"Control and Systems Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
90;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;2,384;Q1;77;143;308;8588;680;42;2,30;60,06;32,19;0;12;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
91;21933;"Decision Support Systems";journal;"01679236";"Elsevier B.V.";No;No;2,366;Q1;192;180;318;11962;3548;315;9,63;66,46;28,33;1;27;Netherlands;Western Europe;"Elsevier B.V.";"1985-2025";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Arts and Humanities; Business, Management and Accounting; Computer Science; Decision Sciences; Psychology"
92;21101246232;"Meta-Radiology";journal;"29501628";"KeAi Publishing Communications Ltd.";Yes;No;2,347;Q1;7;30;23;2216;420;20;18,26;73,87;37,89;0;14;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2023-2025";"Computer Graphics and Computer-Aided Design (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
93;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";"SAGE Publications Inc.";No;No;2,333;Q1;202;150;189;10568;1937;171;7,50;70,45;18,83;0;21;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
94;25038;"IEEE Transactions on Mobile Computing";journal;"15361233";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,332;Q1;164;1135;1051;55842;10258;1051;9,72;49,20;30,32;0;165;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2025";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
95;19600157911;"Electronic Markets";journal;"14228890, 10196781";"Springer Verlag";No;No;2,325;Q1;63;60;250;5552;3545;229;9,16;92,53;27,22;1;13;Germany;Western Europe;"Springer Verlag";"2009-2025";"Business and International Management (Q1); Computer Science Applications (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
96;23844;"Journal of Combinatorial Theory. Series B";journal;"10960902, 00958956";"Academic Press Inc.";No;No;2,312;Q1;71;85;250;2163;416;249;1,73;25,45;23,96;0;0;United States;Northern America;"Academic Press Inc.";"1971-2025";"Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
97;28470;"Foundations of Computational Mathematics";journal;"16153383, 16153375";"Springer New York";No;No;2,308;Q1;71;93;126;4920;502;125;3,98;52,90;16,74;0;0;United States;Northern America;"Springer New York";"2001-2025";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1)";"Computer Science; Mathematics"
98;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,302;Q1;48;92;202;7510;3662;201;15,11;81,63;27,94;0;34;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
99;21101145520;"Cyborg and Bionic Systems";journal;"20971087, 26927632";"American Association for the Advancement of Science";Yes;Yes;2,263;Q1;28;63;103;3909;1545;102;17,31;62,05;33,02;0;9;United States;Northern America;"American Association for the Advancement of Science";"2020-2024";"Artificial Intelligence (Q1); Biomedical Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
100;21101065916;"Cell Reports Methods";journal;"26672375";"Cell Press";Yes;No;2,257;Q1;24;160;440;9452;1931;395;3,99;59,08;39,19;0;47;United States;Northern America;"Cell Press";"2021-2025";"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Genetics (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
101;23127;"Journal of the ACM";journal;"00045411, 1557735X";"Association for Computing Machinery (ACM)";No;No;2,246;Q1;146;42;129;2671;557;121;3,31;63,60;14,50;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1954-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
102;19113;"IEEE/ASME Transactions on Mechatronics";journal;"10834435";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,243;Q1;170;645;1175;22412;10612;1171;8,96;34,75;25,14;0;117;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
103;22489;"European Journal of Operational Research";journal;"03772217";"Elsevier B.V.";No;No;2,239;Q1;319;612;2004;34922;16091;1995;7,40;57,06;26,19;4;141;Netherlands;Western Europe;"Elsevier B.V.";"1977-2025";"Computer Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
104;144853;"Proceedings of the Annual International Symposium on Microarchitecture, MICRO";conference and proceedings;"10724451";"IEEE Computer Society";No;No;2,229;-;129;116;183;8130;1429;177;6,83;70,09;20,07;0;15;United States;Northern America;"IEEE Computer Society";"1972-1976, 1978-1979, 1989-1991, 1994-2011, 2015-2022, 2024";"Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
105;16965;"Internet and Higher Education";journal;"10967516";"Elsevier B.V.";No;No;2,221;Q1;124;13;71;1034;767;70;9,23;79,54;54,55;0;3;United Kingdom;Western Europe;"Elsevier B.V.";"1998-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
106;26108;"Proceedings - International Symposium on High-Performance Computer Architecture";conference and proceedings;"15300897";"IEEE Computer Society";No;No;2,216;-;106;82;260;5966;2042;248;6,67;72,76;21,82;0;17;United States;Northern America;"IEEE Computer Society";"1995-2014, 2016-2018, 2021-2024";"Hardware and Architecture";"Computer Science"
